IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
6,fd00:2:fd00:1:fd00:1:fd00:1,34722,2606:4700:4700::1111,853,-1,Desconocido,unknown,TCP,Inalcanzable,,84,60,1,1,2026-06-13T13:18:55.348-05:00,2026-06-13T13:18:55.351-05:00
6,fd00:2:fd00:1:fd00:1:fd00:1,34722,2606:4700:4700::1111,853,-1,Desconocido,unknown,TCP,Inalcanzable,,80,60,1,1,2026-06-13T13:18:55.365-05:00,2026-06-13T13:18:55.371-05:00
17,10.215.173.1,2344,10.215.173.2,53,10256,WhatsApp,com.whatsapp,DNS,Inalcanzable,g.whatsapp.net,0,0,0,0,2026-06-13T13:18:55.390-05:00,2026-06-13T13:18:55.390-05:00
17,10.215.173.1,61133,10.215.173.2,53,10256,WhatsApp,com.whatsapp,DNS,Inalcanzable,g.whatsapp.net,0,0,0,0,2026-06-13T13:18:55.412-05:00,2026-06-13T13:18:55.412-05:00
17,10.215.173.1,46756,10.215.173.2,53,10147,Servicios de Google Play,com.google.android.gms,DNS,Inalcanzable,mtalk.google.com,0,0,0,0,2026-06-13T13:18:55.424-05:00,2026-06-13T13:18:55.424-05:00
17,10.215.173.1,41931,10.215.173.2,53,10147,Servicios de Google Play,com.google.android.gms,DNS,Inalcanzable,mtalk.google.com,0,0,0,0,2026-06-13T13:18:55.430-05:00,2026-06-13T13:18:55.430-05:00
6,fd00:2:fd00:1:fd00:1:fd00:1,34722,2606:4700:4700::1111,853,-1,Desconocido,unknown,TCP,Inalcanzable,,80,60,1,1,2026-06-13T13:18:57.377-05:00,2026-06-13T13:18:57.380-05:00
17,fd00:2:fd00:1:fd00:1:fd00:1,58433,2606:4700:4700::1111,53,10256,WhatsApp,com.whatsapp,DNS,Inalcanzable,g.whatsapp.net,0,0,0,0,2026-06-13T13:19:00.386-05:00,2026-06-13T13:19:00.386-05:00
17,fd00:2:fd00:1:fd00:1:fd00:1,64946,2606:4700:4700::1111,53,10256,WhatsApp,com.whatsapp,DNS,Inalcanzable,g.whatsapp.net,0,0,0,0,2026-06-13T13:19:00.391-05:00,2026-06-13T13:19:00.391-05:00
17,fd00:2:fd00:1:fd00:1:fd00:1,9390,2606:4700:4700::1111,53,10147,Servicios de Google Play,com.google.android.gms,DNS,Inalcanzable,mtalk.google.com,0,0,0,0,2026-06-13T13:19:00.423-05:00,2026-06-13T13:19:00.423-05:00
17,fd00:2:fd00:1:fd00:1:fd00:1,59361,2606:4700:4700::1111,53,10147,Servicios de Google Play,com.google.android.gms,DNS,Inalcanzable,mtalk.google.com,0,0,0,0,2026-06-13T13:19:00.426-05:00,2026-06-13T13:19:00.426-05:00
6,fd00:2:fd00:1:fd00:1:fd00:1,34722,2606:4700:4700::1111,853,-1,Desconocido,unknown,TCP,Inalcanzable,,80,60,1,1,2026-06-13T13:19:01.601-05:00,2026-06-13T13:19:01.603-05:00
17,10.215.173.1,60332,10.215.173.2,53,10252,AIO Launcher,ru.execbit.aiolauncher,DNS,Cerrado,o4509058527330304.ingest.us.sentry.io,83,111,1,1,2026-06-13T13:19:03.447-05:00,2026-06-13T13:19:03.497-05:00
17,10.215.173.1,21746,10.215.173.2,53,10252,AIO Launcher,ru.execbit.aiolauncher,DNS,Cerrado,o4509058527330304.ingest.us.sentry.io,83,99,1,1,2026-06-13T13:19:03.451-05:00,2026-06-13T13:19:03.507-05:00
6,10.215.173.1,59226,34.160.81.0,443,10252,AIO Launcher,ru.execbit.aiolauncher,HTTPS,Cerrado,o4509058527330304.ingest.us.sentry.io,2086,1676,9,9,2026-06-13T13:19:03.513-05:00,2026-06-13T13:19:03.710-05:00
6,10.215.173.1,59240,34.160.81.0,443,10252,AIO Launcher,ru.execbit.aiolauncher,HTTPS,Cerrado,o4509058527330304.ingest.us.sentry.io,2117,1701,9,9,2026-06-13T13:19:03.716-05:00,2026-06-13T13:19:03.912-05:00
17,10.215.173.1,2344,10.215.173.2,53,10256,WhatsApp,com.whatsapp,DNS,Cerrado,g.whatsapp.net,60,111,1,1,2026-06-13T13:19:05.389-05:00,2026-06-13T13:19:05.454-05:00
17,10.215.173.1,61133,10.215.173.2,53,10256,WhatsApp,com.whatsapp,DNS,Cerrado,g.whatsapp.net,60,99,1,1,2026-06-13T13:19:05.394-05:00,2026-06-13T13:19:05.446-05:00
17,10.215.173.1,46756,10.215.173.2,53,10147,Servicios de Google Play,com.google.android.gms,DNS,Cerrado,mtalk.google.com,62,119,1,1,2026-06-13T13:19:05.425-05:00,2026-06-13T13:19:05.474-05:00
17,10.215.173.1,41931,10.215.173.2,53,10147,Servicios de Google Play,com.google.android.gms,DNS,Cerrado,mtalk.google.com,62,107,1,1,2026-06-13T13:19:05.429-05:00,2026-06-13T13:19:05.478-05:00
6,fd00:2:fd00:1:fd00:1:fd00:1,53982,2a03:2880:f37d:121:face:b00c:0:7260,443,10256,WhatsApp,com.whatsapp,HTTPS,Cerrado,g.whatsapp.net,6435,4153,35,36,2026-06-13T13:19:05.460-05:00,2026-06-13T13:20:16.604-05:00
6,10.215.173.1,53658,142.251.116.188,5228,10147,Servicios de Google Play,com.google.android.gms,TLS,Cerrado,mtalk.google.com,1483,4867,8,9,2026-06-13T13:19:05.485-05:00,2026-06-13T13:20:06.254-05:00
6,10.215.173.1,40086,31.13.89.53,443,10256,WhatsApp,com.whatsapp,HTTPS,Cerrado,,5338,2323,10,10,2026-06-13T13:19:06.070-05:00,2026-06-13T13:20:16.605-05:00
6,fd00:2:fd00:1:fd00:1:fd00:1,38142,2806:260:102d:1:face:b00c:3333:7020,443,10256,WhatsApp,com.whatsapp,HTTPS,Cerrado,media.fcun2-1.fna.whatsapp.net,1714,7856,11,11,2026-06-13T13:19:06.130-05:00,2026-06-13T13:19:11.085-05:00
6,10.215.173.1,37474,187.244.34.228,443,10256,WhatsApp,com.whatsapp,HTTPS,Cerrado,media.fcun2-1.fna.whatsapp.net,1470,7636,11,11,2026-06-13T13:19:07.228-05:00,2026-06-13T13:20:11.410-05:00
6,fd00:2:fd00:1:fd00:1:fd00:1,44988,2806:260:1011:2:face:b00c:3333:7020,443,10256,WhatsApp,com.whatsapp,HTTPS,Cerrado,media.ftgz1-1.fna.whatsapp.net,1570,7797,9,10,2026-06-13T13:19:08.289-05:00,2026-06-13T13:20:11.411-05:00
17,10.215.173.1,60589,10.215.173.2,53,10256,WhatsApp,com.whatsapp,DNS,Cerrado,mmg.whatsapp.net,62,115,1,1,2026-06-13T13:19:09.373-05:00,2026-06-13T13:19:09.436-05:00
17,10.215.173.1,5907,10.215.173.2,53,10256,WhatsApp,com.whatsapp,DNS,Cerrado,mmg.whatsapp.net,62,103,1,1,2026-06-13T13:19:09.377-05:00,2026-06-13T13:19:09.426-05:00
6,10.215.173.1,34084,57.144.251.32,443,10256,WhatsApp,com.whatsapp,HTTPS,Cerrado,mmg.whatsapp.net,1850,10623,10,11,2026-06-13T13:19:09.440-05:00,2026-06-13T13:20:11.412-05:00
6,fd00:2:fd00:1:fd00:1:fd00:1,34722,2606:4700:4700::1111,853,-1,Desconocido,unknown,TLS,Cerrado,,1152,4682,11,13,2026-06-13T13:19:09.797-05:00,2026-06-13T13:19:09.939-05:00
17,fd00:2:fd00:1:fd00:1:fd00:1,57600,2606:4700:4700::1111,53,-1,Desconocido,unknown,DNS,Cerrado,i1w1fh-dnsotls-ds.metric.gstatic.com,102,130,1,1,2026-06-13T13:19:09.893-05:00,2026-06-13T13:19:09.923-05:00
6,fd00:2:fd00:1:fd00:1:fd00:1,49256,2606:4700:4700::1111,853,-1,Desconocido,unknown,TLS,Error,,1304,5416,11,12,2026-06-13T13:19:10.632-05:00,2026-06-13T13:19:20.695-05:00
6,10.215.173.1,52312,57.144.253.32,443,10256,WhatsApp,com.whatsapp,HTTPS,Cerrado,mmg-fallback.whatsapp.net,1837,10581,9,10,2026-06-13T13:19:10.701-05:00,2026-06-13T13:20:11.412-05:00
6,fd00:2:fd00:1:fd00:1:fd00:1,51646,2606:4700:4700::1111,853,-1,Desconocido,unknown,TLS,Error,,1533,2275,10,11,2026-06-13T13:19:27.374-05:00,2026-06-13T13:19:37.427-05:00
6,10.215.173.1,46442,216.239.32.223,443,10148,Google Play Store,com.android.vending,HTTPS,Cerrado,play.googleapis.com,4176,6710,11,14,2026-06-13T13:19:27.430-05:00,2026-06-13T13:19:27.747-05:00
6,fd00:2:fd00:1:fd00:1:fd00:1,59664,2606:4700:4700::1111,853,-1,Desconocido,unknown,TLS,Error,,1533,2297,10,11,2026-06-13T13:19:37.745-05:00,2026-06-13T13:19:47.800-05:00
6,10.215.173.1,49612,34.160.81.0,443,10252,AIO Launcher,ru.execbit.aiolauncher,HTTPS,Cerrado,o4509058527330304.ingest.us.sentry.io,2112,1676,9,9,2026-06-13T13:19:37.870-05:00,2026-06-13T13:19:38.070-05:00
6,10.215.173.1,55698,34.160.81.0,443,10252,AIO Launcher,ru.execbit.aiolauncher,HTTPS,Cerrado,o4509058527330304.ingest.us.sentry.io,2085,1676,9,9,2026-06-13T13:20:02.557-05:00,2026-06-13T13:20:02.783-05:00
6,10.215.173.1,55710,34.160.81.0,443,10252,AIO Launcher,ru.execbit.aiolauncher,HTTPS,Cerrado,o4509058527330304.ingest.us.sentry.io,2086,1701,9,9,2026-06-13T13:20:02.785-05:00,2026-06-13T13:20:02.993-05:00
6,fd00:2:fd00:1:fd00:1:fd00:1,34484,2606:4700:4700::1111,853,-1,Desconocido,unknown,TLS,Error,,1304,5418,11,12,2026-06-13T13:20:06.282-05:00,2026-06-13T13:20:16.354-05:00
6,10.215.173.1,46472,192.178.219.188,5228,10147,Servicios de Google Play,com.google.android.gms,TLS,Cerrado,mtalk.google.com,1342,1188,7,8,2026-06-13T13:20:06.361-05:00,2026-06-13T13:21:07.614-05:00
6,fd00:2:fd00:1:fd00:1:fd00:1,60226,2a03:2880:f37d:121:face:b00c:0:7260,443,10256,WhatsApp,com.whatsapp,HTTPS,Cerrado,g.whatsapp.net,128968,1384360,1596,1661,2026-06-13T13:20:16.625-05:00,2026-06-13T13:24:56.271-05:00
6,fd00:2:fd00:1:fd00:1:fd00:1,52248,2606:4700:4700::1111,853,-1,Desconocido,unknown,TLS,Error,,1777,3199,9,10,2026-06-13T13:20:28.247-05:00,2026-06-13T13:20:38.301-05:00
6,10.215.173.1,37680,216.239.34.223,443,10257,Archivos BD,com.liuzho.file.explorer,HTTPS,Cerrado,firebaselogging.googleapis.com,1944,4753,8,8,2026-06-13T13:20:28.308-05:00,2026-06-13T13:21:32.989-05:00
6,10.215.173.1,54962,216.239.36.223,443,10258,Gestor de archivos +,com.alphainventor.filemanager,HTTPS,Cerrado,firebaselogging-pa.googleapis.com,2278,4857,9,9,2026-06-13T13:20:28.313-05:00,2026-06-13T13:21:32.990-05:00
6,10.215.173.1,54964,216.239.36.223,443,10257,Archivos BD,com.liuzho.file.explorer,HTTPS,Cerrado,firebaselogging-pa.googleapis.com,2346,4869,7,7,2026-06-13T13:20:28.608-05:00,2026-06-13T13:21:32.990-05:00
6,10.215.173.1,37682,216.239.34.223,443,10258,Gestor de archivos +,com.alphainventor.filemanager,HTTPS,Cerrado,firebaselogging.googleapis.com,1877,4870,8,8,2026-06-13T13:20:30.433-05:00,2026-06-13T13:21:32.990-05:00
6,fd00:2:fd00:1:fd00:1:fd00:1,60050,2a03:2880:f235:c6:face:b00c:0:167,443,10256,WhatsApp,com.whatsapp,HTTPS,Cerrado,media-qro1-1.cdn.whatsapp.net,95836,3231,28,25,2026-06-13T13:20:33.631-05:00,2026-06-13T13:21:48.177-05:00
6,10.215.173.1,45478,34.160.81.0,443,10252,AIO Launcher,ru.execbit.aiolauncher,HTTPS,Cerrado,o4509058527330304.ingest.us.sentry.io,2111,1701,9,9,2026-06-13T13:21:00.226-05:00,2026-06-13T13:21:00.421-05:00
6,10.215.173.1,49896,192.178.219.188,5228,10147,Servicios de Google Play,com.google.android.gms,TLS,Cerrado,mtalk.google.com,1348,1188,7,8,2026-06-13T13:21:07.665-05:00,2026-06-13T13:22:08.585-05:00
6,10.215.173.1,47788,192.178.219.188,5228,10147,Servicios de Google Play,com.google.android.gms,TLS,Cerrado,mtalk.google.com,1348,1188,7,8,2026-06-13T13:22:08.626-05:00,2026-06-13T13:23:09.649-05:00
6,10.215.173.1,40666,192.178.219.188,5228,10147,Servicios de Google Play,com.google.android.gms,TLS,Cerrado,mtalk.google.com,1348,1188,7,8,2026-06-13T13:23:09.692-05:00,2026-06-13T13:24:10.860-05:00
6,10.215.173.1,55436,216.239.32.223,443,10148,Google Play Store,com.android.vending,HTTPS,Cerrado,play.googleapis.com,3312,6358,11,11,2026-06-13T13:23:47.764-05:00,2026-06-13T13:23:48.221-05:00
6,10.215.173.1,36630,34.160.81.0,443,10252,AIO Launcher,ru.execbit.aiolauncher,HTTPS,Cerrado,o4509058527330304.ingest.us.sentry.io,2086,1701,9,9,2026-06-13T13:24:10.664-05:00,2026-06-13T13:24:10.862-05:00
6,10.215.173.1,36640,34.160.81.0,443,10252,AIO Launcher,ru.execbit.aiolauncher,HTTPS,Cerrado,o4509058527330304.ingest.us.sentry.io,2087,1676,9,9,2026-06-13T13:24:10.868-05:00,2026-06-13T13:24:11.060-05:00
6,fd00:2:fd00:1:fd00:1:fd00:1,54062,2606:4700:4700::1111,853,-1,Desconocido,unknown,TLS,Error,,1533,2297,10,11,2026-06-13T13:24:10.906-05:00,2026-06-13T13:24:20.965-05:00
6,10.215.173.1,49780,74.125.196.188,5228,10147,Servicios de Google Play,com.google.android.gms,TLS,Cerrado,mtalk.google.com,1388,4868,8,9,2026-06-13T13:24:10.979-05:00,2026-06-13T13:25:11.704-05:00
6,fd00:2:fd00:1:fd00:1:fd00:1,38840,2606:4700:4700::1111,853,-1,Desconocido,unknown,TLS,Error,,11449,25133,79,80,2026-06-13T13:24:16.322-05:00,2026-06-13T13:24:57.169-05:00
17,10.215.173.1,60556,142.251.34.129,443,10175,Fotos,com.google.android.apps.photos,QUIC,Cerrado,,289654,8798044,2417,8293,2026-06-13T13:24:16.408-05:00,2026-06-13T13:25:00.905-05:00
17,10.215.173.1,47365,216.239.32.223,443,10175,Fotos,com.google.android.apps.photos,QUIC,Cerrado,,88012,3595880,517,2992,2026-06-13T13:24:16.547-05:00,2026-06-13T13:26:19.008-05:00
6,fd00:2:fd00:1:fd00:1:fd00:1,38206,2001:4860:4802:38::223,443,10175,Fotos,com.google.android.apps.photos,HTTPS,Cerrado,photosdata-pa.googleapis.com,2364,5858,7,6,2026-06-13T13:24:16.558-05:00,2026-06-13T13:25:16.871-05:00
6,fd00:2:fd00:1:fd00:1:fd00:1,38214,2001:4860:4802:38::223,443,10175,Fotos,com.google.android.apps.photos,HTTPS,Cerrado,photosdata-pa.googleapis.com,2300,5858,7,6,2026-06-13T13:24:16.738-05:00,2026-06-13T13:25:16.872-05:00
6,fd00:2:fd00:1:fd00:1:fd00:1,58800,2607:f8b0:4008:802::2001,443,10175,Fotos,com.google.android.apps.photos,HTTPS,Cerrado,ap2.googleusercontent.com,2405,12166,8,7,2026-06-13T13:24:16.806-05:00,2026-06-13T13:25:22.109-05:00
6,fd00:2:fd00:1:fd00:1:fd00:1,58816,2607:f8b0:4008:802::2001,443,10175,Fotos,com.google.android.apps.photos,HTTPS,Cerrado,ap2.googleusercontent.com,2373,12166,8,7,2026-06-13T13:24:16.811-05:00,2026-06-13T13:25:22.109-05:00
6,fd00:2:fd00:1:fd00:1:fd00:1,58818,2607:f8b0:4008:802::2001,443,10175,Fotos,com.google.android.apps.photos,HTTPS,Cerrado,ap2.googleusercontent.com,2405,12166,8,7,2026-06-13T13:24:16.817-05:00,2026-06-13T13:25:22.109-05:00
6,fd00:2:fd00:1:fd00:1:fd00:1,58826,2607:f8b0:4008:802::2001,443,10175,Fotos,com.google.android.apps.photos,HTTPS,Cerrado,ap2.googleusercontent.com,2309,12166,8,7,2026-06-13T13:24:16.821-05:00,2026-06-13T13:25:22.109-05:00
6,fd00:2:fd00:1:fd00:1:fd00:1,58832,2607:f8b0:4008:802::2001,443,10175,Fotos,com.google.android.apps.photos,HTTPS,Cerrado,ap2.googleusercontent.com,2405,12167,8,7,2026-06-13T13:24:16.828-05:00,2026-06-13T13:25:22.110-05:00
6,fd00:2:fd00:1:fd00:1:fd00:1,58844,2607:f8b0:4008:802::2001,443,10175,Fotos,com.google.android.apps.photos,HTTPS,Cerrado,ap2.googleusercontent.com,2309,12166,8,7,2026-06-13T13:24:16.842-05:00,2026-06-13T13:25:22.110-05:00
6,10.215.173.1,58606,216.239.34.223,443,10175,Fotos,com.google.android.apps.photos,HTTPS,Cerrado,notifications-pa.googleapis.com,2810,5013,7,7,2026-06-13T13:24:17.070-05:00,2026-06-13T13:25:22.110-05:00
17,10.215.173.1,38291,192.178.50.33,443,10175,Fotos,com.google.android.apps.photos,QUIC,Cerrado,,12934,187844,101,204,2026-06-13T13:24:17.256-05:00,2026-06-13T13:24:51.446-05:00
17,10.215.173.1,59724,192.178.50.78,443,10147,Servicios de Google Play,com.google.android.gms,QUIC,Cerrado,,5275,4820,10,11,2026-06-13T13:24:18.075-05:00,2026-06-13T13:24:18.470-05:00
17,10.215.173.1,54523,192.178.50.78,443,10147,Servicios de Google Play,com.google.android.gms,QUIC,Cerrado,,6919,5417,18,20,2026-06-13T13:24:18.388-05:00,2026-06-13T13:24:57.770-05:00
6,10.215.173.1,35216,142.251.34.131,443,10175,Fotos,com.google.android.apps.photos,HTTPS,Cerrado,ssl.gstatic.com,1213,20638,9,11,2026-06-13T13:24:19.063-05:00,2026-06-13T13:25:22.110-05:00
6,10.215.173.1,33362,216.239.34.223,443,10148,Google Play Store,com.android.vending,HTTPS,Cerrado,play.googleapis.com,7721,2229,9,9,2026-06-13T13:24:26.100-05:00,2026-06-13T13:24:26.328-05:00
17,10.215.173.1,36776,216.239.34.223,443,10147,Servicios de Google Play,com.google.android.gms,QUIC,Cerrado,,7840,7149,14,18,2026-06-13T13:24:27.982-05:00,2026-06-13T13:24:28.229-05:00
